1234567

VSM02S0 	<vbser><imp><p2><sg>
VSM03P0 	<vbser><imp><p3><pl>
VSM03S0 	<vbser><imp><p3><sg>
VSN0000 	<vbser><inf>
VSII1P0 	<vbser><pii><p1><pl>
VSII1S0 	<vbser><pii><p1><sg>
VSII2P0 	<vbser><pii><p2><pl>
VSII2S0 	<vbser><pii><p2><sg>
VSII3P0 	<vbser><pii><p3><pl>
VSII3S0 	<vbser><pii><p3><sg>
VSSI1P0 	<vbser><pis><p1><pl>
VSSI1S0 	<vbser><pis><p1><sg>
VSSI2P0 	<vbser><pis><p2><pl>
VSSI2S0 	<vbser><pis><p2><sg>
VSSI3P0 	<vbser><pis><p3><pl>
VSSI3S0 	<vbser><pis><p3><sg>
VSP00PF 	<vbser><pp><f><pl>
VSP00SF 	<vbser><pp><f><sg>
VSP00PM 	<vbser><pp><m><pl>
VSP00SM 	<vbser><pp><m><sg>
VSIP1P0 	<vbser><pri><p1><pl>
VSIP1S0 	<vbser><pri><p1><sg>
VSIP2P0 	<vbser><pri><p2><pl>
VSIP2S0 	<vbser><pri><p2><sg>
VSIP3P0 	<vbser><pri><p3><pl>
VSIP3S0 	<vbser><pri><p3><sg>
VSSP1P0 	<vbser><prs><p1><pl>
VSSP1S0 	<vbser><prs><p1><sg>
VSSP2P0 	<vbser><prs><p2><pl>
VSSP2S0 	<vbser><prs><p2><sg>
VSSP3P0 	<vbser><prs><p3><pl>
VSSP3S0 	<vbser><prs><p3><sg>
